genre,sgdc,multi_nb,random_f,logi_regre
Drama                   ,0.68,0.68,0.59,0.67
Comedy                   ,0.72,0.72,0.59,0.71
Action                  ,0.74,0.76,0.55,0.73
Documentary              ,0.85,0.85,0.69,0.84
Horror                   ,0.8,0.82,0.53,0.78
Crime                    ,0.68,0.69,0.5,0.66
Thriller                 ,0.61,0.63,0.53,0.59
Adventure                ,0.65,0.69,0.5,0.64
Romance                  ,0.57,0.58,0.5,0.57
Animation                ,0.68,0.72,0.5,0.69
Fantasy                   ,0.56,0.62,0.5,0.57
Science Fiction           ,0.67,0.73,0.5,0.69
Mystery                    ,0.56,0.59,0.5,0.57
Average,0.68,0.70,0.54,0.67
